event_name,event_lat,event_lon,stop_id,stop_name,stop_lat,stop_lon,distance
Music Network presents Théo Ould & Alison Langer,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
3 Hail Marys,52.838161,-6.9278619,8210000199,Carlow College,52.838603,-6.927199,0.000796743628778846
Nathan Carter,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
"National Symphony Orchestra Ireland, Conductor David Brophy & Uilleann Piper Mark Redmond",52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
Navan Comic Con 2026,53.65188819999999,-6.682937099999999,8310B5620001,Market Square,53.653032,-6.684572,0.001995288563100148
Needle Felting Workshop,53.3450737,-6.2534374,8220DB000400,Shaw Street,53.344849,-6.25339,0.0002296450521971756
New Ross Piano Festival 20th Year Celebration,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
NSOI: Alexander Shelley conducts,53.3346479,-6.2587823,8220DB001013,Earlsfort Terrace,53.334181,-6.258346,0.000639025273364818
Of Mornington by Billy Roche,52.3397212,-6.464063599999999,834000027,Custom House Quay,52.340606,-6.461284,0.0029170271167746876
Of Mornington by Billy Roche,53.3450078,-6.269166299999999,8220DB001443,Wood Quay,53.345129,-6.26954,0.00039286273684479255
Of Mornington by Billy Roche - Matinee,52.3397212,-6.464063599999999,834000027,Custom House Quay,52.340606,-6.461284,0.0029170271167746876
Orchestral Escapades with NSOI,53.3346479,-6.2587823,8220DB001013,Earlsfort Terrace,53.334181,-6.258346,0.000639025273364818
Paddy's Eve at Pygmalion with Jayda G & Henrik Schwarz,53.3421287,-6.2621742,8220DB001279,College Green,53.34426,-6.261705,0.002182335521861387
Paper Puppet Making for 5-10yrs -  Ceardlann puipeád,52.2666168,-9.7083368,8390B635851,Tralee Prince's Street,52.266953,-9.709685,0.0013894868405283879
Pas de Panique,52.838161,-6.9278619,8210000199,Carlow College,52.838603,-6.927199,0.000796743628778846
Patrick McDonnell (Fr Ted) plus Guests,51.9018264,-8.470619899999999,8370B258981,Coburg Street,51.90175,-8.47072,0.000125924461483107
Psychic Sally,52.2666168,-9.7083368,8390B635851,Tralee Prince's Street,52.266953,-9.709685,0.0013894868405283879
QHI Music Quiz,53.35218279999999,-6.2497095,8220IR0007,Dublin Connolly,53.351252,-6.249704,0.0009308162493057888
Quizhost Ireland Big Screen Movie Quiz,53.35218279999999,-6.2497095,8220IR0007,Dublin Connolly,53.351252,-6.249704,0.0009308162493057888
Qween & The Dublin Gospel Choir,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
Randy Feltface: Gimmick,53.34267639999999,-6.2778366,8220DB001938,Cornmarket,53.342978,-6.276761,0.0011170845626043064
RDS Collins Memorial Recital,52.1398345,-7.9293394,8450B255061,Lismore,52.136741,-7.934327,0.005869062617657822
Regina Hanley & The Wolseley Singers with special guest Michael English,52.838161,-6.9278619,8210000199,Carlow College,52.838603,-6.927199,0.000796743628778846
Roscrea Goes Green - St Patrick’s Day Parade 2026,52.9554226,-7.7992473,8420B4552901,Roscrea Castle Street,52.955153,-7.797604,0.0016652684618400785
"Self Portrait by Gwen John, National Portrait Gallery London",51.8973901,-8.476346399999999,8370B4289701,South Main Street,51.897316,-8.476966,0.0006240152001363891
Serena Terry: Therapy,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
Simon Yates Pleasure & Pain Presented by Speakers from the Edge,52.3380334,-6.4621603,834000055,Custom House Quay,52.339415,-6.460298,0.0023188315699949865
Simple Things,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
Sligo St. Patrick's Festival,54.2718062,-8.4731925,8510B5584201,Sligo Markievicz Road,54.272628,-8.474111,0.0012324761620400378
Sneem St Patrick’s Day Parade,51.8373942,-9.8983245,8390B6373801,Sneem,51.83732,-9.89861,0.00029498455891835266
Spéirbhean | Sky Woman,53.3481028,-6.2667014,8220GA00405,Jervis,53.347744,-6.26531,0.0014369173253874102
Spraoí at the Helix - A St. Patrick’s Show,53.3864373,-6.259149400000001,8220DB007571,DCU Helix,53.386776,-6.258725,0.000542985312877788
St. Patrick's Festival Dublin 2026,53.3498053,-6.2603097,8220DB006059,The Spire of Dublin,53.3502244282714,-6.26018517538052,0.00043723550718813005
Kilkenny St. Patrick's Festival 2026,52.6549027,-7.246402900000001,8270CD10285,Kilkenny MacDonagh Station,52.65466,-7.245762,0.0006853145992916953
St.Patrick's Dancing Weekend: Jack Keogh Dance,52.044466,-9.502486,839000124,Gleneagle Hotel,52.0440401554159,-9.50267484856799,0.0004658405214659756
